data_table,column_name,data_type,missing_values
w1_demographics.csv,household_ID,object,0
w1_demographics.csv,member_ID,object,0
w1_demographics.csv,age,int64,0
w1_demographics.csv,relationship_to_the_head_of_household,object,0
w1_demographics.csv,gender,object,0
w1_demographics.csv,ethnicity,object,0
w1_demographics.csv,religion,object,0
w1_demographics.csv,marital_status,object,0
w1_demographics.csv,current_attendance_in_any_education_instituition,object,418
w1_demographics.csv,highest_level_of_education,object,775
w1_demographics.csv,main_activity_engaged_in,object,2133
w1_demographics.csv,main_occupation,object,9902
w1_demographics.csv,daily_wage_owner_or_not,object,10090
w1_demographics.csv,employment_status_of_the_main_occupation,object,9902
w1_demographics.csv,no_of_hours_stayed_at_home_during_last_week,float64,0
w1_demographics.csv,member_went_out_for_work_or_not_during_last_week,object,11967
w1_ac_roster.csv,household_ID,object,0
w1_ac_roster.csv,room_ID,object,0
w1_ac_roster.csv,ac_ID,object,0
w1_ac_roster.csv,type_of_the_ac,object,0
w1_ac_roster.csv,is_the_ac_inverter_or_not,object,0
w1_ac_roster.csv,is_room_fully_sealed,object,0
w1_ac_roster.csv,wattage_of_the_ac,float64,356
w1_ac_roster.csv,btu_of_the_ac,float64,553
w1_ac_roster.csv,no_of_hours_ac_was_on_during_daytime_last_week,float64,0
w1_ac_roster.csv,no_of_hours_ac_was_on_during_night_last_week,float64,0
w1_light_roster.csv,household_ID,object,0
w1_light_roster.csv,room_ID,object,0
w1_light_roster.csv,light_ID,object,0
w1_light_roster.csv,type_of_the_bulb,object,0
w1_light_roster.csv,wattage_of_the_bulb,float64,9234
w1_light_roster.csv,no_of_hours_bulb_was_on_during_daytime_last_week,float64,0
w1_light_roster.csv,no_of_hours_bulb_was_on_during_night_last_week,float64,0
w1_household_information_and_history.csv,household_ID,object,0
w1_household_information_and_history.csv,no_of_electricity_meters,int64,0
w1_household_information_and_history.csv,electricity_provider_csc_area,object,0
w1_household_information_and_history.csv,own_the_house_or_living_on_rent,object,0
w1_household_information_and_history.csv,occupy_renters_boarders,object,536
w1_household_information_and_history.csv,awareness_of_electricity_consumption_of_renters,object,3959
w1_household_information_and_history.csv,built_year_of_the_house,object,0
w1_household_information_and_history.csv,type_of_house,object,0
w1_household_information_and_history.csv,floor_which_house_located,float64,3970
w1_household_information_and_history.csv,no_of_storeys,float64,3814
w1_household_information_and_history.csv,floor_area,float64,26
w1_household_information_and_history.csv,no_of_household_members,int64,0
w1_household_information_and_history.csv,charging_method_of_renters_for_electricity,object,3959
