data_table,column_name,data_type,missing_values
w2_ac_roster.csv,household_ID,object,0
w2_ac_roster.csv,ROOM_ID,object,0
w2_ac_roster.csv,AC_ID,object,0
w2_ac_roster.csv,type_of_the_AC,object,0
w2_ac_roster.csv,is_the_AC_inverter_or_not,object,195
w2_ac_roster.csv,is_room_fully_sealed,object,0
w2_ac_roster.csv,BTU_of_the_AC,float64,0
w2_ac_roster.csv,no_of_hours_bulbs_was_on_during_daytime_last_week,float64,0
w2_ac_roster.csv,no_of_hours_bulbs_was_on_during_night_last_week,float64,0
w2_changed_rooms.csv,household_ID,object,10
w2_changed_rooms.csv,Room_Type,object,0
w2_changed_rooms.csv,no_of_rooms_in_w1,int64,0
w2_changed_rooms.csv,is_there_change_of_no_of_rooms_of_each_type,object,0
w2_changed_rooms.csv,new_no_of_rooms,float64,34761
w2_room_roster.csv,household_ID,object,6
w2_room_roster.csv,ROOM_ID,object,0
w2_room_roster.csv,room_type,object,0
w2_room_roster.csv,was_this_available_during_w1_and_was_there_any_changes_done_in_this_part,object,64
w2_room_roster.csv,storey_which_the_room_located,float64,16424
w2_room_roster.csv,main_material_used_for_the_roof_of_the_room,object,24672
w2_room_roster.csv,type_of_ceiling_of_the_room,object,24672
w2_room_roster.csv,main_material_used_for_the_floor_of_the_room,object,24672
w2_room_roster.csv,no_of_doors_opened_to_external_environment,float64,24672
w2_room_roster.csv,no_of_windows,float64,24672
w2_room_roster.csv,have_curtains_or_blinds_for_windows,object,26888
w2_room_roster.csv,have_other_ventelation_openings,object,24672
w2_room_roster.csv,no_of_bulbs_in_the_room,float64,104
w2_room_roster.csv,no_of_bulbs_used_last_week,float64,3160
w2_room_roster.csv,no_of_fans_in_the_room,float64,104
w2_room_roster.csv,no_of_ACs_in_the_room,float64,104
w2_electricity_generation.csv,household_ID,object,1
w2_electricity_generation.csv,had_solar_energy_when_w1_was_done,object,0
w2_electricity_generation.csv,installed_a_solar_system_after_w1,object,294
w2_electricity_generation.csv,still_have_the_solar_system_from_w1,object,3207
w2_electricity_generation.csv,increased_or_decreased_no_of_panels_after_w1,object,3234
w2_electricity_generation.csv,solar_system_ongrid_or_offgrid,object,3189
w2_electricity_generation.csv,solar_system_inverter_or_non_inverter,object,3189
w2_electricity_generation.csv,solar_energy_used_for_water_heating,object,3457
w2_electricity_generation.csv,solar_energy_used_for_cooking,object,3489
w2_electricity_generation.csv,solar_energy_used_for_outdoor_lighting,object,3497
w2_electricity_generation.csv,solar_energy_used_for_car_charging,object,3500
w2_electricity_generation.csv,solar_energy_used_for_agricultural_systems,float64,3501
w2_electricity_generation.csv,solar_energy_used_for_all_above,float64,3501
w2_electricity_generation.csv,solar_energy_used_for_other_purposes,float64,3501
w2_electricity_generation.csv,aware_of_no_of_units_generated_by_solar_system,object,3189
w2_electricity_generation.csv,no_of_units_generated_last_month,object,3365
w2_electricity_generation.csv,capacity_of_the_solar_system,float64,3189
w2_fan_roster.csv,household_ID,object,2
w2_fan_roster.csv,ROOM_ID,object,0
w2_fan_roster.csv,FAN_ID,object,0
w2_fan_roster.csv,type_of_the_fan,object,0
w2_fan_roster.csv,no_of_hours_bulbs_was_on_during_daytime_last_week,float64,0
w2_fan_roster.csv,no_of_hours_bulbs_was_on_during_night_last_week,float64,0
w2_new_household_members.csv,household_ID,object,0
w2_new_household_members.csv,MEMBER_ID,object,0
w2_new_household_members.csv,year_of_birth,float64,0
